lemma,rank,translation,pos
creo,89,I create,verb
tienes,90,you have,verb
casa,91,he marries; she marries; it marries,verb
usted,92,second person informal; you (singular),pron
esa,93,feminine singular of ese,det
voy,94,I go,verb
sabes,95,you know,verb
eres,96,you are,verb
verdad,97,truth,noun
hasta,98,even,adv
solo,99,sole; one; only; single (unique),adj
nunca,100,never,adv
años,101,plural of año,noun
hace,102,he does; she does; it does,verb
va,103,he goes; she goes; it goes,verb
hola,104,"hello, hi, hey",intj
mucho,105,"much, a lot of",det
quién,106,"who?, whom?; (with “de”) whose?",pron
mejor,107,better,adj
vida,108,life,noun
decir,109,"to say, to tell",verb
mí,110,me; (declined form of yo used as the object of a preposition),pron
dónde,111,where,noun
ni,112,neither... nor,conj
están,113,they are,verb
favor,114,favor/favour,noun
señor,115,"mister, sir, lord (title conferred on a married or older male)",noun
hombre,116,"man, (adult male human)",noun
oh,117,"oh (expression of awe, surprise, pain or realization)",intj
siempre,118,always,adv
ver,119,"to see, to spot",verb
uno,120,I unite,verb
quieres,121,you desire,verb
siento,122,I seat,verb
había,123,I had,verb
dios,124,god,noun
has,125,you have,verb
antes,126,plural of ante,noun
día,127,day (any period of 24 hours),noun
desde,128,since (from a specified time in the past),prep
tenemos,129,we have,verb
poco,130,little (a small amount),noun
cosas,131,you sew,verb
ti,132,prepositional of tú,pron
otra,133,feminine singular of otro,det
mismo,134,same; identical; one and the same; indicates that the two compared noun clauses both represent the one thing,adj
han,135,they have,verb
hecho,136,done,verb
alguien,137,"someone, somebody",pron
puedes,138,you are able to,verb
ahí,139,there: used to designate a place near the listener,adv
dijo,140,he said; she said; it said,verb
estar,141,being,verb
entre,142,I enter,verb
noche,143,night (the period between sunset and sunrise),noun
trabajo,144,I work,verb
ir,145,going,verb
después,146,"later, afterwards, afterward, post",adv
mis,147,plural of mi,det
sea,148,I am,verb
acuerdo,149,I agree,verb
otro,150,"other, another",det
parece,151,he seems; she seems; it seems,verb
donde,152,"where, in what place",adv
ellos,153,"plural of él (“they, them”)",pron
estamos,154,we are,verb
mundo,155,"world, earth (human collective existence)",noun
gente,156,people,noun
nosotros,157,we (masculine plural),pron
padre,158,father,noun
estado,159,been,verb
nadie,160,no one; nobody (anyone or anybody),pron
tal,161,such,adj
les,162,the (plural),article
parte,163,he divides; she divides; it divides,verb
sido,164,been,verb
momento,165,"moment, instant",noun
podría,166,I would be able to,verb
menos,167,minus sign,noun
mira,168,he looks at; she looks at; it looks at,verb
quiere,169,he desires; she desires; it desires,verb
fuera,170,I was,verb
gran,171,"apocopic form of grande; great, grand",adj
lugar,172,place,noun
hablar,173,to talk; to speak; to communicate using words,verb
tener,174,to have; to possess,verb
tenía,175,I had,verb
tres,176,three,num
nuevo,177,new,adj
pasa,178,he passes; she passes; it passes,verb
vas,179,you go,verb
cada,180,each; every,det
claro,181,sunny spell,noun
dinero,182,money,noun
madre,183,mother,noun
mañana,184,the morning,noun
sr.,185,,
tipo,186,I type,verb
hoy,187,today,adv
días,188,plural of día,noun
luego,189,then (afterward),adv
allí,190,there (away from the speaker and the listener),adv
mujer,191,woman,noun
nuestro,192,ours,pron
tanto,193,copy,noun
cosa,194,I sew,verb
sabe,195,he knows; she knows; it knows,verb
todas,196,feminine plural of todo,det
haciendo,197,doing,verb
hijo,198,son,noun
dice,199,he says; she says; it says,verb
seguro,200,first-person singular present indicative of segurar,verb
podemos,201,we prune,verb
debe,202,he owes; she owes; it owes,verb
espera,203,he hopes; she hopes; it hopes,verb
vale,204,he is worth; she is worth; it is worth,verb
será,205,he will be; she will be; it will be,verb
estas,206,feminine plural of este,det
toda,207,feminine singular of todo,det
haber,208,had,verb
tus,209,plural of tu,det
amigo,210,I cause to be friends,verb
nuestra,211,feminine singular of nuestro,det
buena,212,feminine singular of bueno,adj
aún,213,"still, yet",adv
quien,214,who,pron
estos,215,masculine plural of este,det
nombre,216,I name,verb
tienen,217,they have,verb
veces,218,second-person singular present subjunctive of vezar,verb
mamá,219,you suckle,verb
mal,220,"evil, harm; a bad thing or situation",noun
buen,221,"apocopic form of bueno (“good, fine”)",adj
durante,222,"during, in, over",prep
papá,223,you slurp,verb
quería,224,I desired,verb
dije,225,I said,verb
unos,226,masculine plural of un,article
pasado,227,passed,verb
forma,228,he forms; she forms; it forms,verb
gusta,229,he tastes; she tastes; it tastes,verb
hizo,230,he did; she did; it did,verb
caso,231,I marry,verb
contra,232,con (disadvantage),noun
tarde,233,I delay,verb
necesito,234,I need,verb
oye,235,he hears; she hears; it hears,verb
alguna,236,feminine singular of alguno,det
hemos,237,we have,verb
cuenta,238,he counts; she counts; it counts,verb
visto,239,seen,verb
conmigo,240,with me,adv
mientras,241,meanwhile,adv
otros,242,masculine plural of otro,det
realmente,243,"really, actually, genuinely",adv
hora,244,hour (a time period of sixty minutes),noun
problema,245,"problem, issue, challenge (a difficulty or obstacle that has to be dealt with)",noun
crees,246,you create,verb
año,247,year,noun
razón,248,reason,noun
primera,249,first gear (lowest gear in a motor vehicle),noun
cierto,250,true,adj
saber,251,"to know, to understand (a fact)",verb
dicho,252,said,verb
hacerlo,253,to do,verb
mierda,254,shit (solid excretory product evacuated from the bowels; feces.),noun
pues,255,"so, then; in that case",conj
idea,256,he devises; she devises; it devises,verb
mío,257,mine; of mine,pron
e,258,and,conj
aunque,259,"though, although, even though, albeit",conj
familia,260,family (a nuclear family),noun
hacia,261,"toward, towards",prep
amor,262,love,noun
esos,263,plural of ese; those,det
pueden,264,they are able to,verb
importa,265,he matters; she matters; it matters,verb
todavía,266,"still, yet",adv
personas,267,you arrive,verb
policía,268,"Civility, polity, public order, police, fineness, neatness, urbanity",noun
casi,269,almost,adv
contigo,270,with you (singular),adv
cualquier,271,apocopic form of cualquiera; any; whatever; whichever,det
demasiado,272,"too much, too many, excessive",adj
ven,273,you come,verb
serio,274,I put in a series,verb
algún,275,"apocopic form of alguno; some, any",det
ve,276,he sees; she sees; it sees,verb
nueva,277,"news, novelty",noun
eh,278,"hey! (used to call, draw attention, warn or reprehend)",intj
lado,279,side,noun
manera,280,way; manner; method; style,noun
cabeza,281,head,noun
hombres,282,plural of hombre,noun
historia,283,he depicts; she depicts; it depicts,verb
dentro,284,I enter,verb
sería,285,I would be,verb
salir,286,to run (e.g. a bus or other form of public transportation),verb
debería,287,I would owe,verb
van,288,they go,verb
ciudad,289,city,noun
ustedes,290,you (plural),pron
muchas,291,feminine plural of mucho,det
poder,292,"to be able to, can",verb
algunos,293,masculine plural of alguno,det
amigos,294,plural of amigo,noun
chica,295,A spice made from the Sobralia orchid,noun
mayor,296,major (military rank),noun
sabía,297,I knew,verb
chicos,298,plural of chico,noun
hermano,299,I unite,verb
esas,300,feminine plural of ese; those,det
primer,301,apocopic form of primero (first),adj
país,302,country (the territory of a nation),noun
vaya,303,I go,verb
agua,304,he waters down; she waters down; it waters down,verb
misma,305,feminine singular of mismo,adj
veo,306,I see,verb
haces,307,you do,verb
camino,308,I walk,verb
persona,309,you only used in se persona,verb
iba,310,I went,verb
realidad,311,reality,noun
fin,312,end,noun
importante,313,"important, that cares, that matters",adj
primero,314,"former (in contrast to the latter), first, first one",noun
digo,315,I say,verb
horas,316,plural of hora,noun
semana,317,week (7 days),noun
puerta,318,door (portal of entry into a building),noun
somos,319,we are,verb
pensé,320,I thinked,verb
bajo,321,I go down,verb
muerte,322,death (the cessation of life),noun
problemas,323,plural of problema,noun
punto,324,I point,verb
ah,325,"ah (expression of relief, realization, awe)",intj
pasó,326,he passed; she passed; it passed,verb
quizá,327,"perhaps, maybe",adv
buenas,328,plural of buena,noun
supuesto,329,supposed,verb
cuatro,330,"a four-stringed guitar with the first string a fifth below, instead of a fourth above, the second",noun
da,331,he gives; she gives; it gives,verb
mano,332,I gush forth,verb
niños,333,plural of niño Boys or children,noun
volver,334,"to return, to revert, to get back",verb
además,335,you encase,verb
señora,336,lady,noun
cariño,337,"affection, fondness",noun
ayuda,338,he helps; she helps; it helps,verb
ojos,339,plural of ojo,noun
cinco,340,a five,noun
pasar,341,"to pass, to hand, to slip",verb
general,342,general,noun
pronto,343,"prompt, on time",adj
debo,344,I owe,verb
minutos,345,plural of minuto,noun
sino,346,"destiny, fate, lot",noun
gobierno,347,I govern,verb
manos,348,plural of mano,noun
presidente,349,president,noun
muerto,350,died,verb
muchos,351,masculine plural of mucho,det
chico,352,boy; kid,noun
guerra,353,"war, warfare",noun
hice,354,I did,verb
incluso,355,"enclosed, included",adj
medio,356,I mediate,verb
cuál,357,"what (in terms of a very specific item); which, which one",pron
hablando,358,talking,verb
adiós,359,farewell; goodbye,noun
siquiera,360,"at least, at the least",adv
genial,361,"genial, pleasant",adj
fueron,362,they went,verb
ello,363,"it, neuter third-person subject and disjunctive pronoun",pron
rápido,364,rapid (part of a river),noun
equipo,365,I equip,verb
dejar,366,to leave (to place),verb
significa,367,he signifies; she signifies; it signifies,verb
jefe,368,"chief; president; head; leader of a business, political party, or other organization",noun
millones,369,plural of millón,noun
suerte,370,"luck, fortune",noun
otras,371,feminine plural of otro,det
ayer,372,yesterday,noun
cuerpo,373,body (the physical structure of a human or animal),noun
llegar,374,"to arrive, get (to)",verb
mujeres,375,plural of mujer (“women”),noun
posible,376,possible,adj
según,377,according to,prep
nuestros,378,masculine plural of nuestro,det
quizás,379,"maybe, perhaps",adv
tierra,380,"land, ground (the part of Earth which is not covered by oceans or other bodies of water)",noun
único,381,only; single; sole,adj
hija,382,daughter; female equivalent of hijo,noun
ninguna,383,feminine singular of ninguno,det
final,384,end (the terminal point of something in space or time),noun
cara,385,face (the front part of the head),noun
niño,386,"child, boy",noun
supongo,387,I suppose,verb
juntos,388,masculine plural of junto,adj
algunas,389,feminine plural of alguno,det
entiendo,390,I understand,verb
número,391,number (counting),noun
ningún,392,apocopic form of ninguno (“not any”),det
deja,393,he leaves; she leaves; it leaves,verb
ves,394,you see,verb
tío,395,"uncle (the brother, brother-in-law, or male cousin or cousin-in-law of either parent)",noun
cerca,396,he corrals; she corrals; it corrals,verb
corazón,397,heart (organ of the body),noun
miedo,398,fear,noun
buenos,399,masculine plural of bueno,adj
eran,400,they were,verb
haya,401,I have,verb
hubiera,402,I had,verb
feliz,403,"happy, merry (trait)",adj
unas,404,you unite,verb
espero,405,I hope,verb
igual,406,equal (a person or thing of equal status),noun
viene,407,he comes; she comes; it comes,verb
meses,408,you pull out,verb
sigue,409,he follows; she follows; it follows,verb
dar,410,"to give, to give out",verb
podía,411,I was able to,verb
última,412,feminine singular of último,adj
difícil,413,"difficult, hard, tough, challenging, rough, tricky, trying, arduous, testing",adj
os,414,"you, to you, for you; dative and accusative of vosotros",pron
venir,415,to come (to move toward the speaker),verb
vi,416,I saw,verb
viejo,417,an old person,noun
bastante,418,enough; sufficient,adj
tomar,419,to take,verb
gustaría,420,I would taste,verb
cuánto,421,how much; how many,adv
encontrar,422,to meet,verb
adelante,423,I bring forward,verb
justo,424,I joust,verb
sentido,425,felt,verb
esposa,426,he handcuffs; she handcuffs; it handcuffs,verb
segundo,427,I repeat an action,verb
grande,428,grandee,noun
allá,429,"there, over there, thither, yonder (in a direction away from the speaker and the listener)",adv
clase,430,lecture,noun
cual,431,"like, as, in the manner of",adv
ante,432,elk,noun
juego,433,I play,verb
tenido,434,had,verb
pensar,435,"to think, ponder",verb
pueda,436,I am able to,verb
hey,437,hey!,intj
doctor,438,doctor (Ph.D.),noun
grupo,439,group,noun
cuidado,440,looked after,verb
suficiente,441,"sufficient, enough",adj
sangre,442,I bleed,verb
pequeño,443,small; little,adj
dijiste,444,you said,verb
trata,445,he treats; she treats; it treats,verb
haré,446,I will do,verb
último,447,final; last,adj
frente,448,"forehead, brow",noun
grandes,449,plural of grande,noun
venga,450,I come,verb
llama,451,he summons; she summons; it summons,verb
noches,452,plural of noche,noun
toma,453,he takes; she takes; it takes,verb
necesita,454,he needs; she needs; it needs,verb
debes,455,you owe,verb
arriba,456,he docks; she docks; it docks,verb
vuelta,457,feminine singular of vuelto,verb
coche,458,"car, automobile",noun
tampoco,459,neither; nor; also not,adv
trabajar,460,to work,verb
cuándo,461,when,adv
fuerte,462,"fort, stronghold",noun
seguridad,463,"safety, security",noun
mas,464,plural of ma,noun
entrar,465,to enter; to come in; to get in; to go in; to get inside; to come on in,verb
vivir,466,to live; to be alive,verb
escucha,467,he listens to; she listens to; it listens to,verb
déjame,468,I leave,verb
pueblo,469,I populate,verb
hijos,470,"plural of hijo (“sons, children”)",noun
joven,471,"youth, young person, youngster",noun
cuanto,472,quantum,noun
hago,473,I do,verb
escuela,474,he goes through a narrow place; she goes through a narrow place; it goes through a narrow place,verb
tras,475,"after, following, in the wake of",prep
cree,476,I create,verb
cambio,477,I change,verb
luz,478,light,noun
oportunidad,479,"opportunity, chance, shot, break, occasion, time (in both senses: “chance for advancement, progress or profit” and “favorable circumstance or occasion”)",noun
fui,480,I went,verb
sistema,481,system,noun
embargo,482,I impound,verb
teléfono,483,telephone (a telecommunication device used for two-way talking with another person),noun
dices,484,you say,verb
seis,485,six,num
alto,486,height (in measurements),noun
habla,487,inflection of hablar,verb
fiesta,488,party,noun
loco,489,a crazy person; a madman,noun
atrás,490,behind,adv
debemos,491,we owe,verb
pregunta,492,he asks; she asks; it asks,verb
hacen,493,they do,verb
seguir,494,to follow,verb
quieren,495,they desire,verb
dio,496,he gave; she gave; it gave,verb
paso,497,I pass,verb
falta,498,he is lacking; she is lacking; it is lacking,verb
fácil,499,"easy, facile, simple (requiring little effort)",adj
ido,500,gone,verb
padres,501,plural of padre (“parents”),noun
vino,502,he came; she came; it came,verb
hiciste,503,you did,verb
estaban,504,they were,verb
situación,505,"situation, scenario, picture",noun
abajo,506,I lower,verb
única,507,feminine singular of único,adj
siendo,508,being,verb
modo,509,"way, manner",noun
información,510,information,noun
dólares,511,plural of dólar,noun
esté,512,I am,verb
hermana,513,he unites; she unites; it unites,verb
tuvo,514,he had; she had; it had,verb
dado,515,given,verb
música,516,music,noun
paz,517,peace (warlessness),noun
culpa,518,he blames; she blames; it blames,verb
queda,519,he is; she is; it is,verb
real,520,real (unit of currency),noun
auto,521,"car, automobile",noun
palabra,522,word,noun
deberías,523,you would owe,verb
sola,524,feminine singular of solo,adj
derecho,525,"right (a legal, just or moral entitlement)",noun
lista,526,he registers; she registers; it registers,verb
partido,527,divided,verb
orden,528,order (command),noun
exactamente,529,exactly,adv
nacional,530,a member of the national militia,noun
listo,531,I register,verb
comida,532,feminine singular of comido,verb
necesitamos,533,we needed,verb
habría,534,I would have,verb
libro,535,I save,verb
capitán,536,captain (leader),noun
diciendo,537,saying,verb
comer,538,to eat,verb
sabemos,539,we know,verb
lejos,540,far,adv
pasando,541,passing,verb
morir,542,to die,verb
haga,543,I do,verb
puesto,544,put,verb
calle,545,I calm,verb
dicen,546,they say,verb
estabas,547,you were,verb
par,548,pair (two of the same or similar items that go together),noun
política,549,politics (activities associated with running a government or organisation),noun
malo,550,bad guy; baddie; bad boy; bad person,noun
habitación,551,room (separate part of a building),noun
probablemente,552,"probably, likely",adv
estuvo,553,he was; she was; it was,verb
éste,554,this one,pron
plan,555,plan,noun
especial,556,special,noun
palabras,557,plural of palabra (“words”),noun
pequeña,558,feminine singular of pequeño,adj
ok,559,,
creer,560,to believe,verb
relación,561,relation,noun
chicas,562,plural of chica,noun
ley,563,law (a well-established characteristic of nature),noun
bebé,564,you drink,verb
pensando,565,thinking,verb
conozco,566,I know,verb
simplemente,567,simply,adv
acerca,568,he brings close; she brings close; it brings close,verb
diez,569,A (highest grade in testing),noun
esperar,570,to hope,verb
través,571,,
tuve,572,I had,verb
centro,573,I focus,verb
largo,574,I chase away,verb
buscando,575,seeking,verb
cama,576,bed,noun
nuestras,577,feminine plural of nuestro,det
recuerdo,578,I remember,verb
rey,579,king,noun
españa,580,,
voz,581,voice,noun
demás,582,"other, remaining",adj
sra.,583,,
saben,584,they know,verb
mil,585,thousand (1000 units of something) (usually in an indefinite sense),noun
lleva,586,he takes; she takes; it takes,verb
tenga,587,I have,verb
necesitas,588,you need,verb
conseguir,589,"to achieve, succeed in, reach, accomplish, attain",verb
amo,590,I love,verb
propia,591,feminine singular of propio,adj
propio,592,own (belonging to),adj
sitio,593,I besiege,verb
resto,594,I subtract,verb
oficina,595,office (a room used for non-manual work),noun
libre,596,I save,verb
segura,597,inflection of segurar:,verb
peor,598,comparative degree of malo: worse,adj
estará,599,he will be; she will be; it will be,verb
poner,600,"to put, to put up, to place, to lay",verb
fuerza,601,he forces; she forces; it forces,verb
marido,602,I pair,verb
arma,603,he arms; she arms; it arms,verb
puta,604,"whore, slut, prostitute",noun
oído,605,heared,verb
llevar,606,"to take, to carry, to take away, to carry away, to carry around, to bring, to bear, to lug (implies to move something further from who speaks)",verb
podrías,607,you would be able to,verb
ejemplo,608,example,noun
mucha,609,feminine singular of mucho,det
control,610,"control, or running of a business",noun
esperando,611,hoping,verb
atención,612,attention,noun
don,613,"a title of respect to a man, prefixed to first names",noun
fuego,614,fire,noun
llamado,615,summoned,verb
madrid,616,,
viaje,617,I travel,verb
dormir,618,to sleep,verb
cuarto,619,fourth (in a series),noun
dr.,620,,
siguiente,621,following,adj
matar,622,"to kill, slay",verb
habían,623,they had,verb
hagas,624,you do,verb
ambos,625,plural of ambo,noun
habrá,626,he will have; she will have; it will have,verb
perdido,627,losed,verb
prueba,628,he proves; she proves; it proves,verb
futuro,629,future (the time ahead),noun
campo,630,I stand out,verb
deben,631,they owe,verb
hospital,632,hospital,noun
di,633,I gave,verb
ellas,634,"they, them (used subjectively and after prepositions; can refer to women and feminine nouns)",pron
vivo,635,I live,verb
piensa,636,he thinks; she thinks; it thinks,verb
semanas,637,plural of semana,noun
edad,638,age,noun
ayudar,639,to help,verb
venido,640,come,verb
murió,641,he died; she died; it died,verb
película,642,film (layer),noun
san,643,"financial, temporal-savings scheme; the participants periodically contribute a quota to a communal pot that is given to one member, based on his/her turn amongst all the others",noun
maldita,644,feminine singular of maldito,verb
estados,645,masculine plural of estado,verb
niña,646,"girl, female equivalent of niño",noun
vista,647,feminine singular of visto,verb
junto,648,I combine,verb
correcto,649,"correct, right",adj
llamar,650,"to summon, to call",verb
basta,651,he is enough; she is enough; it is enough,verb
john,652,,
aire,653,air (the substance constituting earth's atmosphere),noun
encima,654,he puts up; she puts up; it puts up,verb
cielo,655,sky,noun
iré,656,I will go,verb
buscar,657,"to seek, search for, look for, try to find, to scour",verb
programa,658,he programs; she programs; it programs,verb
personal,659,"personnel, staff",noun
café,660,coffee,noun
detrás,661,"behind, at the rear",adv
público,662,public,noun
minuto,663,minute (a unit of time equal to 60 seconds or ¹⁄₆₀ hour),noun
director,664,director,noun
llegó,665,he arrived; she arrived; it arrived,verb
demonios,666,plural of demonio,noun
pienso,667,I think,verb
verte,668,to see,verb
acaba,669,he finishes; she finishes; it finishes,verb
boca,670,"mouth, oral cavity",noun
diga,671,I say,verb
anoche,672,last night,adv
vuelve,673,he returns; she returns; it returns,verb
dirección,674,direction,noun
llamada,675,feminine singular of llamado,verb
ud.,676,,
servicio,677,service,noun
ésta,678,feminine singular of éste,pron
idiota,679,"idiot, moron, fool, dork, eejit",noun
jugar,680,to play,verb
mala,681,suitcase,noun
social,682,social,adj
médico,683,doctor,noun
mes,684,month,noun
obra,685,he acts; she acts; it acts,verb
asunto,686,I pay attention,verb
perder,687,to lose,verb
dejó,688,he left; she left; it left,verb
armas,689,you arm,verb
duro,690,I last,verb
querido,691,desired,verb
preguntas,692,you ask,verb
queremos,693,we desire,verb
perdón,694,pardon,noun
pie,695,I chirped,verb
mayoría,696,majority,noun
unidos,697,masculine plural of unido,verb
segunda,698,he repeats an action; she repeats an action; it repeats an action,verb
empezar,699,"to start, begin, to get started",verb
mía,700,feminine singular of mío,det
digas,701,you say,verb
hacemos,702,we do,verb
perro,703,"dog (the species Canis familiaris (sometimes designated Canis lupus familiaris), domesticated for thousands of years and of highly variable appearance because of human breeding)",noun
señorita,704,young woman,noun
ropa,705,"garment, clothing, clothes, robes",noun
hacía,706,I did,verb
papel,707,paper,noun
sueño,708,I dream,verb
oficial,709,"officer, official",noun
extraño,710,I miss,verb
negro,711,black (the color perceived in the absence of light),noun
jamás,712,never,adv
hará,713,he will do; she will do; it will do,verb
afuera,714,he gauges; she gauges; it gauges,verb
sol,715,sun,noun
media,716,he mediates; she mediates; it mediates,verb
diablos,717,plural of diablo,noun
necesario,718,"necessary, requisite",adj
noticias,719,you notify,verb
increíble,720,"incredible, unbelievable",adj
josé,721,,
principio,722,I begin,verb
respuesta,723,"reply, response, answer",noun
llegado,724,arrived,verb
universidad,725,college,noun
maldito,726,"bastard, son of a bitch",noun
juan,727,,
vemos,728,we see,verb
haría,729,I would do,verb
compañía,730,company,noun
cambiar,731,"to change, to shift, to switch, to alter",verb
dolor,732,"pain, ache, aching soreness, tenderness (physical)",noun
mesa,733,he pulls out; she pulls out; it pulls out,verb
mensaje,734,message,noun
nivel,735,"level, tier, height (distance relative to a given reference elevation)",noun
pudo,736,he was able to; she was able to; it was able to,verb
s,737,,
decisión,738,decision,noun
línea,739,line (a straight path through two or more points),noun
diferente,740,different,adj
aquel,741,that (over there; implying some distance),det
libertad,742,you liberate,verb
alrededor,743,surroundings,noun
vio,744,he saw; she saw; it saw,verb
mitad,745,half,noun
i,746,you go,verb
espacio,747,I space,verb
respecto,748,I relate to,verb
pena,749,he punishes; she punishes; it punishes,verb
trabajando,750,working,verb
agente,751,agent,noun
sexo,752,I sex,verb
sociedad,753,"society, social order",noun
salud,754,health,noun
investigación,755,investigation,noun
suena,756,he sounds; she sounds; it sounds,verb
proceso,757,I process,verb
aqui,758,,
encontrado,759,meeted,verb
tratando,760,treating,verb
usar,761,to use,verb
trato,762,I treat,verb
querida,763,feminine singular of querido,verb
siete,764,seven,noun
blanco,765,white,noun
supone,766,he supposes; she supposes; it supposes,verb
raro,767,rare,adj
consejo,768,first-person singular present indicative of consejar,verb
diré,769,I will say,verb
zona,770,"zone, district, area",noun
jack,771,,
últimos,772,masculine plural of último,adj
error,773,error,noun
mejores,774,you make better,verb
hubo,775,he had; she had; it had,verb
perfecto,776,perfect,adj
tema,777,he has an obsession; she has an obsession; it has an obsession,verb
reunión,778,"meeting, session, appointment",noun
piensas,779,you think,verb
york,780,,
sucede,781,he happens; she happens; it happens,verb
podríamos,782,we would be able to,verb
carta,783,map,noun
secreto,784,I secrete,verb
siente,785,I seat,verb
gusto,786,I taste,verb
decía,787,I said,verb
ganar,788,to gain,verb
base,789,I base on,verb
odio,790,I hate,verb
decirle,791,to say,verb
ocurre,792,he happens; she happens; it happens,verb
sean,793,they are,verb
maría,794,magpie (bird),noun
suelo,795,I pave,verb
hotel,796,hotel,noun
silencio,797,I silence,verb
daño,798,I damage,verb
amiga,799,he causes to be friends; she causes to be friends; it causes to be friends,verb
pobre,800,"poor (pitiable, pitiful)",adj
partir,801,"to divide, split",verb
asesino,802,I murder,verb
entiendes,803,you understand,verb
encuentra,804,he meets; she meets; it meets,verb
quieras,805,you desire,verb
fondo,806,bottom,noun
pensaba,807,I thinked,verb
existe,808,he exists; she exists; it exists,verb
srta.,809,,
darle,810,to give,verb
dan,811,they give,verb
baño,812,I bathe,verb
carrera,813,race,noun
conoces,814,you know,verb
acción,815,"action, act, deed (something done)",noun
duda,816,he doubts; she doubts; it doubts,verb
vuelto,817,returned,verb
partes,818,you divide,verb
interior,819,interior,noun
tendrá,820,he will have; she will have; it will have,verb
imposible,821,impossible,adj
pagar,822,to pay,verb
mente,823,"mind, intellect",noun
divertido,824,entertained,verb
sala,825,he salts; she salts; it salts,verb
acabo,826,I finish,verb
negocio,827,I negotiate,verb
apenas,828,you sadden,verb
ocho,829,eight,noun
próxima,830,feminine singular of próximo,adj
ejército,831,army,noun
mar,832,sea,noun
estaré,833,I will be,verb
cita,834,he cites; she cites; it cites,verb
pelo,835,I peel,verb
abogado,836,advocated,verb
diferentes,837,plural of diferente,adj
conoce,838,he knows; she knows; it knows,verb
recuerda,839,he remembers; she remembers; it remembers,verb
asesinato,840,assassination,noun
recuerdas,841,you remember,verb
vive,842,I applaud,verb
ay,843,"ah!, alas!",intj
energía,844,energy,noun
banco,845,I pick up the tab,verb
arte,846,art,noun
empresa,847,company,noun
foto,848,"photo, photograph",noun
normal,849,a school for becoming a teacher,noun
seas,850,you are,verb
casos,851,plural of caso,noun
novia,852,inflection of noviar:,verb
totalmente,853,totally,adv
países,854,plural of país,noun
izquierda,855,"left (side, direction)",noun
conocer,856,"to know (a person or a place), to be familiar with, to be acquainted with",verb
proyecto,857,I project,verb
estaría,858,I would be,verb
cámara,859,room,noun
causa,860,he causes; she causes; it causes,verb
estábamos,861,we were,verb
cállate,862,you calm,verb
capaz,863,"able, capable",adj
pesar,864,to weigh (to determine the weight of an object),verb
iglesia,865,church,noun
parecía,866,I seemed,verb
pruebas,867,you prove,verb
derecha,868,right (direction),noun
